siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 11:00",23
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 12:00",1.8
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 12:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 12:00",40.7
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 12:00",19
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 12:00",19.5
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 12:00",12
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 13:00",1.9
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 13:00",0.27
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 13:00",41.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 13:00",25
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 13:00",16.2
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 13:00",10
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 14:00",1.5
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 14:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 14:00",46
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 14:00",21
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 14:00",10.6
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 14:00",11
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 15:00",1.8
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 15:00",0.3
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 15:00",40.8
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 15:00",25
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 15:00",16.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 15:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-02 16:00",1.8
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-02 16:00",0.33
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-02 16:00",40.4
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-02 16:00",26
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-02 16:00",17.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-02 16:00",13
