date,pm2.5,so2,no2,co,o3,pm10
2025/06/27,7.3,0.4,9.5,0.2,22.8,15.9
2025/06/28,5.6,0.8,8.6,0.1,17.5,12.9
2025/06/29,3.2,0.3,4.2,0.1,12.4,6.6
2025/06/30,2.4,0.5,4.0,0.1,11.2,9.7
2025/07/01,2.1,0.2,2.8,0.1,12.2,9.9
2025/07/02,4.6,0.6,3.2,0.1,15.2,12.3
2025/07/03,8.2,0.1,3.3,0.1,26.0,18.3
2025/07/04,2.1,0.7,2.8,0.1,16.6,10.4
2025/07/05,6.0,0.4,5.8,0.1,22.0,26.9
2025/07/06,1.4,0.1,2.9,0.1,18.5,12.3
2025/07/07,2.6,0.0,10.2,0.2,12.6,12.8
2025/07/08,9.8,0.2,10.5,0.2,22.5,25.8
2025/07/09,7.4,0.1,14.8,0.3,17.7,17.3
2025/07/10,8.9,0.6,13.9,0.3,7.8,20.9
2025/07/11,5.6,1.2,16.1,0.3,11.0,17.6
2025/07/12,11.2,0.6,11.1,0.2,28.7,26.0
2025/07/13,10.9,0.7,5.8,0.2,22.7,27.0
2025/07/14,14.7,0.9,8.7,0.2,19.2,35.0
2025/07/15,11.0,0.4,6.7,0.2,21.3,24.2
2025/07/16,10.5,0.3,10.1,0.2,22.4,22.3
2025/07/17,11.4,0.8,8.5,0.2,22.6,26.3
2025/07/18,4.5,0.5,3.5,0.1,12.8,10.5
2025/07/19,1.1,0.1,1.5,0.0,16.2,8.8
2025/07/20,0.7,0.0,2.0,0.1,20.3,6.1
2025/07/21,2.0,0.7,8.8,0.1,14.9,8.3
2025/07/22,1.0,0.9,3.0,0.1,10.7,6.3
2025/07/23,2.1,0.4,2.5,0.1,8.0,11.5
2025/07/24,4.1,0.8,4.5,0.1,7.2,16.0
2025/07/25,2.0,0.6,8.6,0.2,8.5,6.0
2025/07/26,4.0,1.1,7.7,0.2,22.8,12.3
2025/07/27,8.9,1.1,6.7,0.2,21.0,20.5
2025/07/28,4.8,1.1,10.0,0.2,26.4,10.0
2025/07/29,5.0,1.2,9.6,0.2,28.5,9.8
2025/07/30,6.5,1.1,6.4,0.2,26.2,16.2
2025/07/31,6.2,1.1,9.5,0.2,23.5,17.2
2025/08/01,8.7,1.2,10.1,0.2,25.0,17.0
2025/08/02,4.3,1.1,7.3,0.2,19.8,15.9
2025/08/03,3.4,1.2,4.6,0.1,14.9,14.3
2025/08/04,6.7,1.3,9.5,0.2,15.7,19.7
2025/08/05,7.1,1.1,10.6,0.2,12.9,17.7
2025/08/06,10.6,1.3,9.6,0.2,18.9,28.3
2025/08/07,15.5,1.4,8.8,0.2,32.5,31.3
2025/08/08,16.9,1.4,9.4,0.2,31.5,34.8
2025/08/09,15.7,1.5,8.5,0.2,32.5,29.9
2025/08/10,9.0,1.4,6.9,0.1,17.5,20.5
2025/08/11,9.2,1.3,12.0,0.2,16.4,27.0
2025/08/12,7.4,1.4,6.5,0.1,19.2,17.5
2025/08/13,4.5,1.1,1.0,0.0,15.1,18.2
2025/08/14,2.4,1.1,2.6,0.1,14.7,8.7
2025/08/15,2.0,1.3,1.6,0.0,8.4,7.8
2025/08/16,1.7,0.8,2.5,0.0,8.2,8.7
2025/08/17,2.2,1.0,2.2,0.0,10.5,8.2
2025/08/18,7.5,1.7,8.3,0.1,25.4,14.9
2025/08/19,10.4,1.2,9.2,0.2,25.6,21.8
2025/08/20,7.5,1.3,11.0,0.2,18.7,18.6
2025/08/21,6.1,1.3,9.2,0.2,26.9,16.5
2025/08/22,4.3,1.3,7.0,0.1,26.5,13.9
2025/08/23,8.6,1.4,7.9,0.1,31.1,19.7
2025/08/24,3.1,1.1,2.2,0.1,13.5,11.5
2025/08/25,1.3,1.1,2.5,0.0,7.5,7.0
2025/08/26,1.0,1.3,4.5,0.1,9.5,9.7
2025/08/27,1.7,1.2,3.8,0.0,11.9,8.5
2025/08/28,1.5,1.2,2.2,0.0,15.3,8.3
2025/08/29,1.5,1.1,2.5,0.0,10.9,7.7
2025/08/30,4.7,1.3,5.4,0.1,24.0,10.8
2025/08/31,9.8,1.5,6.9,0.1,29.3,17.2
